Date,Open,High,Low,Close,Adj Close,Volume
2023-04-25,3183.000000,3191.199951,3147.500000,3176.000000,3176.000000,2024090
2023-04-26,3181.000000,3208.399902,3181.000000,3198.149902,3198.149902,2000029
2023-04-27,3185.000000,3199.199951,3170.649902,3187.949951,3187.949951,2434446
2023-04-28,3200.399902,3227.250000,3196.250000,3219.250000,3219.250000,2931312
2023-05-02,3235.000000,3235.000000,3210.000000,3219.399902,3219.399902,2321159
2023-05-03,3216.000000,3216.000000,3173.149902,3179.899902,3179.899902,2468285
2023-05-04,3180.149902,3224.449951,3178.000000,3220.699951,3220.699951,1953253
2023-05-05,3220.000000,3244.000000,3210.050049,3230.699951,3230.699951,1710027
2023-05-08,3245.000000,3254.850098,3231.300049,3250.600098,3250.600098,928235
2023-05-09,3252.600098,3298.000000,3246.000000,3283.250000,3283.250000,1107375
2023-05-10,3290.000000,3306.500000,3266.050049,3286.800049,3286.800049,1559987
2023-05-11,3309.000000,3309.699951,3272.000000,3282.149902,3282.149902,1719623
2023-05-12,3279.149902,3290.000000,3260.000000,3274.300049,3274.300049,1027479
2023-05-15,3284.000000,3292.000000,3248.350098,3255.050049,3255.050049,1150390
2023-05-16,3256.199951,3285.000000,3250.449951,3258.149902,3258.149902,986306
2023-05-17,3255.949951,3280.000000,3198.250000,3208.699951,3208.699951,1588815
2023-05-18,3225.949951,3228.949951,3195.000000,3199.850098,3199.850098,1369364
2023-05-19,3210.000000,3234.500000,3203.050049,3222.850098,3222.850098,1152449
2023-05-22,3230.000000,3308.449951,3217.050049,3298.699951,3298.699951,1333243
2023-05-23,3306.000000,3327.949951,3290.100098,3297.050049,3297.050049,1687418
2023-05-24,3276.000000,3317.199951,3276.000000,3303.350098,3303.350098,1016555
2023-05-25,3294.000000,3306.000000,3267.100098,3293.500000,3293.500000,1374917
2023-05-26,3293.500000,3338.649902,3291.000000,3328.899902,3328.899902,1791115
2023-05-29,3360.800049,3372.000000,3312.000000,3320.350098,3320.350098,1210372
2023-05-30,3315.000000,3326.949951,3301.350098,3316.199951,3316.199951,1344076
